name	div	num_date	clade_membership	subclade	haplotype
A/Uganda/210/2022	0.03137639404565459	2022.141095890411	3C.2a1b.1a	B.1.2.1.1	A
A/HongKong/4/2022	0.03936610232828301	2022.4479452054795	1a.1	F.1.1	F.1.1
A/Yunnan-Lushui/1975/2022	0.04050163658956049	2022.2452054794521	1a.1	F.1.1	F.1.1:50K
A/TimorLeste/2/2022	0.03650983149214337	2022.0287671232877	1	F	F:45T
A/Maldives/726/2022	0.03935670353473295	2022.6397260273973	2a	G.1	G.1
A/Kosovo/954/2022	0.038787844154968734	2022.0260273972603	2a.1	G.1.1	G.1.1
A/Minnesota/11/2022	0.04163235448247681	2022.1191780821919	2a.1a	G.1.1.1	G.1.1.1
A/Fiji/43/2022	0.04163248052595782	2022.1328767123289	2a.1a	G.1.1.1	G.1.1.1:12M
A/Pennsylvania/6/2022	0.042769128907302036	2022.009589041096	2a.1a	G.1.1.1	G.1.1.1:63D
A/Netherlands/11710/2022	0.040493198519277754	2022.5630136986301	2a.1b	G.1.1.2	G.1.1.2
A/NorthDakota/10/2023	0.041061399928995976	2023.0972602739726	2a.1b	G.1.1.2	G.1.1.2:326R
A/RhodeIsland/27/2022	0.040502065863842356	2022.3383561643836	2a.1	G.1.1	G.1.1:167S
A/Belgium/S0473/2022	0.04164050922388243	2022.1465753424657	2a.1	G.1.1	G.1.1:220K,262N
A/Tennessee/16/2022	0.04219989722854101	2022.7410958904109	2a.1	G.1.1	G.1.1:50K,299K
A/Victoria/65/2022	0.0410623190021648	2022.2424657534248	2a.1	G.1.1	G.1.1:62E
A/Utah/9/2022	0.0416326805007649	2022.1109589041096	2a.1	G.1.1	G.1.1:94H
A/Vladivostok/CRIE/NRCEM-13/2022	0.038788065300684745	2022.168493150685	2a.2	G.1.2	G.1.2
A/Indiana/1/2022	0.040494371360400926	2022.1054794520549	2a.2	G.1.2	G.1.2:4S,145N
A/Victoria/4/2022	0.040495325347124966	2022.0013698630137	2a.3	G.1.3	G.1.3
A/Qatar/10-VI-22-1619238/2022	0.04391513549047776	2022.4068493150685	2a.3a.1	G.1.3.1.1	G.1.3.1.1
A/Seoul/165/2022	0.04617695238548006	2022.9109589041095	2a.3a.1	G.1.3.1.1	G.1.3.1.1:10M
A/India/2530/2022	0.046176854377563074	2022.5986301369862	2a.3a.1	G.1.3.1.1	G.1.3.1.1:122D
A/Bangkok/P3759/2023	0.04788046330317754	2023.6835616438357	2a.3a.1	G.1.3.1.1	G.1.3.1.1:122D,144N,276E
A/Ontario/RV00796/2023	0.04731280299388696	2023.5630136986301	2a.3a.1	G.1.3.1.1	G.1.3.1.1:122D,276E
A/Krabi/THIS15/2023	0.04959066682678855	2023.6205479452055	2a.3a.1	G.1.3.1.1	G.1.3.1.1:124N,145N
A/Sydney/138/2023	0.04731324237838118	2023.3328767123287	2a.3a.1	G.1.3.1.1	G.1.3.1.1:145N
A/California/70/2023	0.04902382733756321	2023.5246575342467	2a.3a.1	G.1.3.1.1	G.1.3.1.1:173R,276E
A/Maldives/766/2023	0.04617646281746283	2023.3931506849315	2a.3a.1	G.1.3.1.1	G.1.3.1.1:21T
A/Georgia/39/2023	0.04617698804787092	2023.6424657534246	2a.3a.1	G.1.3.1.1	G.1.3.1.1:242M
A/Bhutan/845/2023	0.04731470185045626	2023.5465753424658	2a.3a.1	G.1.3.1.1	G.1.3.1.1:25V
A/Sohar/52223389/2022	0.046745637595082976	2022.7739726027398	2a.3a.1	G.1.3.1.1	G.1.3.1.1:275D
A/Wisconsin/27/2023	0.04617642516844747	2023.176712328767	2a.3a.1	G.1.3.1.1	G.1.3.1.1:309I
A/SuratThani/NIC-P2974/2022	0.04674555009801774	2022.6616438356164	2a.3a.1	G.1.3.1.1	G.1.3.1.1:312R
