strain,GISAID_id
A/Zhejiang-Dinghai/1587/2023,EPI_ISL_18068755
A/Hubei-Jianli/2560/2023,EPI_ISL_18068754
A/Surat Thani/122/2022,EPI_ISL_16868608
A/SHIZUOKA-C/3/2023,EPI_ISL_18506014
A/KANAGAWA/AC2323/2023,EPI_ISL_18506012
A/Surat Thani/62/2022,EPI_ISL_16868614
A/Victoria/5275/2022,EPI_ISL_16613626
A/Guangdong-Futian/1938/2023,EPI_ISL_18068763
A/Guangdong-Dongwanbendi/2557/2023,EPI_ISL_18068762
A/Surat Thani/3897/2022,EPI_ISL_16868616
A/Victoria/5278/2022,EPI_ISL_16613623
A/Victoria/5277/2022,EPI_ISL_16613622
A/South Africa/R04355/2023,EPI_ISL_17891586
A/Netherlands/01767/2023,EPI_ISL_18509061
A/Bhutan/1058/2023,EPI_ISL_18451769
A/Bhutan/1297/2023,EPI_ISL_18451768
A/Bhutan/2362/2023,EPI_ISL_18451771
A/Bhutan/1064/2023,EPI_ISL_18451770
A/Bhutan/1563/2023,EPI_ISL_18451773
A/Townsville/42/2023,EPI_ISL_18100528
A/Bhutan/0845/2023,EPI_ISL_18451772
A/Bhutan/1587/2023,EPI_ISL_18451775
A/Singapore/GP1867/2023,EPI_ISL_17974580
A/Bhutan/1593/2023,EPI_ISL_18451774
A/Singapore/GP1961/2023,EPI_ISL_17974581
A/Sichuan-Cuiping/1302/2023,EPI_ISL_18068795
A/India/Pune-NIV233731/2023,EPI_ISL_18272575
A/Liaoning-Xinlongtai/1295/2023,EPI_ISL_18068794
A/Malaysia/IMR-SARI1970/2023  ,EPI_ISL_18354482
A/Liaoning-Huanggu/1896/2023,EPI_ISL_18068793
A/Sydney/420/2023,EPI_ISL_18100543
A/Zhejiang-Nanhu/1420/2023,EPI_ISL_18068799
A/Victoria/1033/2023,EPI_ISL_18100538
A/Shanghai-Hongkou/1359/2023,EPI_ISL_18068771
A/Shanghai-Jiading/1415/2023,EPI_ISL_18068770
A/Abu Dhabi/1782251/2022,EPI_ISL_14862545
A/Shandong-Rencheng/11253/2023,EPI_ISL_18068775
A/Sichuan-Yucheng/1855/2023,EPI_ISL_18068774
A/Sichuan-Dongpo/1483/2023,EPI_ISL_18068773
A/Yunnan-Zhaoyang/1565/2023,EPI_ISL_18068772
A/Surat Thani/P3897/2022,EPI_ISL_16613578
A/YAMAGATA/115/2023,EPI_ISL_18506019
A/Henan-Weidong/1504/2023,EPI_ISL_18068777
A/SHIMANE/89/2023,EPI_ISL_18506017
A/Sydney/770/2023,EPI_ISL_18365731
A/Townsville/39/2023,EPI_ISL_18100527
A/Victoria/1931/2023,EPI_ISL_18127190
A/Denmark/3729/2022,EPI_ISL_16679095
A/Heilongjiang-Taoshan/1479/2023,EPI_ISL_18068831
A/Singapore/GP6009/2023,EPI_ISL_17974621
A/Sydney/443/2023,EPI_ISL_18100548
A/India/GIHSN-HCL023127037801/2023,EPI_ISL_18131268
A/Qinghai-Gonghe/1405/2023,EPI_ISL_18068803
A/India/GIHSN-HCL023127048101/2023,EPI_ISL_18131270
A/Zhejiang-Nanhu/1438/2023,EPI_ISL_18068800
A/India/Pune-NIV2310804/2023,EPI_ISL_18272578
A/India/Pune-NIV2314328/2023,EPI_ISL_18272576
A/Bahrain/1498/2022,EPI_ISL_14036096
A/India/GIHSN-HCL023127033201/2023,EPI_ISL_18131267
A/India/Delhi-NIV2315859/2023,EPI_ISL_18272577
A/Bhutan/1569/2023,EPI_ISL_18451777
A/Bhutan/1048/2023,EPI_ISL_18451776
A/India/GIHSN-HCL023127084901/2023,EPI_ISL_18131272
A/Hawaii/39/2023,EPI_ISL_18451780
A/India/GIHSN-HCL023127087901/2023,EPI_ISL_18131273
A/India/GIHSN-HCL023127093101/2023,EPI_ISL_18131274
A/Wisconsin/71/2023,EPI_ISL_18451782
A/Nepal/S1957/2023,EPI_ISL_18475385
A/Singapore/GP8329/2023,EPI_ISL_17974643
A/Singapore/KK1501/2023,EPI_ISL_17974646
A/Singapore/TT0408/2023,EPI_ISL_17974647
A/Singapore/NTF0034/2023,EPI_ISL_17974650
A/Surat Thani/NIC-P3446/2022,EPI_ISL_15641734
A/Singapore/NTF0053/2023,EPI_ISL_17974651
A/Nepal/S1920/2023,EPI_ISL_18475381
A/Singapore/NTF0067/2023,EPI_ISL_17974654
A/Nepal/401/2023,EPI_ISL_18475380
A/Sichuan-Shunqing/1204/2023,EPI_ISL_18068862
A/Singapore/NUH0510/2023,EPI_ISL_17974655
A/Tunisia/23274/2022,EPI_ISL_16759954
A/Nepal/S1897/2023,EPI_ISL_18475382
A/Singapore/NTF0064/2023,EPI_ISL_17974653
A/Singapore/GP7019/2023,EPI_ISL_17974626
A/Singapore/GP7270/2023,EPI_ISL_17974627
A/Tunisia/23669/2022,EPI_ISL_16759950
A/OSAKA/48/2023,EPI_ISL_18439531
A/Moscow/9/23,EPI_ISL_18054496
A/Singapore/GP6998/2023,EPI_ISL_17974625
A/OSAKA/52/2023,EPI_ISL_18439532
A/Singapore/TT0410/2023,EPI_ISL_17974631
A/Victoria/2510/2023,EPI_ISL_18365792
A/Singapore/CGH0041/2023,EPI_ISL_17974634
A/Sydney/778/2023,EPI_ISL_18365793
A/Xinjiang-Akesu/1354/2023,EPI_ISL_18068842
A/KANAGAWA/IC2303/2023,EPI_ISL_18439523
A/Xinjiang-Yining/1268/2023,EPI_ISL_18068841
A/Singapore/TT0417/2023,EPI_ISL_17974632
A/Singapore/TT0430/2023,EPI_ISL_17974633
A/KANAGAWA/AC2305/2023,EPI_ISL_18439525
A/KANAGAWA/AC2303/2023,EPI_ISL_18439524
A/Malaysia/IMR-SARI1981/2023  ,EPI_ISL_18354534
A/St.Petersburg/CRIE/2/2023,EPI_ISL_18354535
A/HYOGO/1033/2023,EPI_ISL_18218388
A/Xinjiang-Akesu/1237/2023,EPI_ISL_18068886
A/Sichuan-Qianfeng/327/2023,EPI_ISL_18068884
A/Shanghai-Pudongxin/1291/2023,EPI_ISL_18068889
A/Singapore/NUH0521/2023,EPI_ISL_17974656
A/Singapore/NUH0526/2023,EPI_ISL_17974657
A/Sichuan-Pidou/54/2023,EPI_ISL_17465758
A/Sichuan-Pidou/53/2023,EPI_ISL_17465759
A/Yunnan-Qilin/1209/2023,EPI_ISL_18068879
A/Shanxi-Pingcheng/1404/2023,EPI_ISL_17465750
A/Abu Dhabi/1722389/2022,EPI_ISL_13892684
A/Tianjin-Jinnan/1112/2023,EPI_ISL_17465770
A/Sichuan-Gaoxin/1144/2023,EPI_ISL_17465772
A/Sichuan-Qingyang/1254/2023,EPI_ISL_17465773
A/Xinjiang-Hutubi/1216/2023,EPI_ISL_18068923
A/Sichuan-Pidou/36/2023,EPI_ISL_17465765
