name	div	num_date	clade_membership	subclade	haplotype
A/Texas/88/2016	0.00968781449603385	2016.1489071038252	3C.3a	C	A
A/Nevada/22/2016	0.00853922772221822	2016.1734972677596	3C.3a	C	A
A/Idaho/33/2016	0.011967863431243618	2016.4330601092897	3C.3a	C	A
A/Idaho/33/2016-egg	0.011967863431243618	2016.4330601092897	3C.3a	C	A
A/Texas/71/2017	0.010271732211263719	2017.2095890410958	3C.3a	C	A
A/Kansas/14/2017-egg	0.013690265313197307	2017.9520547945206	3C.3a1	C.1	A
A/Indiana/8/2018	0.013689068220425185	2018.1	3C.3a1	C.1	A
A/Kansas/14/2017	0.013120966248615522	2017.9520547945206	3C.3a1	C.1	A
A/California/179/2016	0.010287881404016078	2016.922131147541	3C.2a3	B.3	A
A/Maryland/23/2016	0.010857418521294742	2016.9030054644809	3C.2a3	B.3	A
A/Singapore/TT1374/2016	0.011447447213634469	2016.9166666666667	3C.2a3	B.3	A
A/Sapporo/71/2015	0.00975765700767368	2015.954794520548	3C.2a	B	A
A/NorthCarolina/4/2017	0.013715270100345803	2017.0698630136985	3C.2a2	B.2	B.2
A/Washington/16/2017	0.014854956401169161	2017.0671232876712	3C.2a2	B.2	B.2
A/Norway/4465/2016-egg	0.015995418844319105	2016.8510928961748	3C.2a2	B.2	B.2
A/Brisbane/318/2016	0.014854767844028916	2016.9467213114754	3C.2a2	B.2	B.2
A/Brisbane/321/2016	0.014854767844028916	2016.9658469945355	3C.2a2	B.2	B.2
A/Nebraska/2/2017	0.014853912752814682	2017.0260273972603	3C.2a2	B.2	B.2
A/Wisconsin/19/2017-egg	0.01656429069075974	2017.0616438356165	3C.2a2	B.2	B.2
A/Peru/3817/2017	0.01542359734548704	2017.9328767123288	3C.2a2	B.2	B.2
A/Brisbane/117/2018	0.01827347738344029	2018.5684931506848	3C.2a2	B.2	B.2
A/Switzerland/8060/2017	0.019417904119027756	2017.9712328767123	3C.2a2	B.2	B.2
A/Switzerland/8060/2017-egg	0.020557315315706464	2017.9712328767123	3C.2a2	B.2	B.2
A/Bretagne/1413/2017	0.02114808168651516	2017.7712328767122	3C.2a2	B.2	B.2
A/Bretagne/1565/2017-egg	0.021126152173313636	2017.8890410958904	3C.2a2	B.2	B.2
A/NewMexico/14/2018	0.01941359671384595	2018.1465753424657	3C.2a2	B.2	B.2
A/Brisbane/1/2018-egg	0.01941273516672218	2018.004109589041	3C.2a2	B.2	B.2
A/Brisbane/1/2018	0.01941324583776263	2018.004109589041	3C.2a2	B.2	B.2
