name	div	num_date	clade_membership	subclade	haplotype
A/Kansas/14/2017-egg	0.017838076207361785	2017.9520547945206	3C.3a1	C.1	B
A/Kansas/14/2017	0.017270033538384674	2017.9520547945206	3C.3a1	C.1	B
A/Indiana/8/2018	0.017836877236078744	2018.1	3C.3a1	C.1	B
A/Peru/3817/2017	0.011995908748520951	2017.9328767123288	3C.2a2	B.2	B
A/Brisbane/117/2018	0.014839544399099056	2018.5684931506848	3C.2a2	B.2	B
A/Switzerland/8060/2017	0.01598110949550842	2017.9712328767123	3C.2a2	B.2	B
A/Switzerland/8060/2017-egg	0.01711804444974792	2017.9712328767123	3C.2a2	B.2	B
A/Bretagne/1413/2017	0.017698160364632207	2017.7712328767122	3C.2a2	B.2	B
A/Bretagne/1565/2017-egg	0.017685724874357694	2017.8890410958904	3C.2a2	B.2	B
A/NewMexico/14/2018	0.01597715825490183	2018.1465753424657	3C.2a2	B.2	B
A/Brisbane/1/2018-egg	0.01597629426334981	2018.004109589041	3C.2a2	B.2	B
A/Brisbane/1/2018	0.01597673203259871	2018.004109589041	3C.2a2	B.2	B
A/HongKong/656/2018	0.017126190929129016	2018.2643835616439	3C.2a2	B.2	B
A/Nagano/2731/2017	0.01654747325608448	2017.9082191780822	3C.2a1	B.1	B
A/Yokohama/145/2017	0.014250506286343782	2017.7410958904109	3C.2a1	B.1	B
A/Sydney/22/2018	0.01710193133845503	2018.168493150685	3C.2a1	B.1	B
A/HongKong/2286/2017	0.013111955688891279	2017.390410958904	3C.2a1b.1	B.1.2.1	B
A/HongKong/2286/2017-egg	0.015387138809730128	2017.390410958904	3C.2a1b.1	B.1.2.1	B
A/Afghanistan/616/2017	0.015384464549322664	2017.9	3C.2a1b.1	B.1.2.1	B
A/Afghanistan/833/2017	0.016521037498162416	2017.941095890411	3C.2a1b.1	B.1.2.1	B
A/Victoria/653/2017	0.013680120411775963	2017.6068493150685	3C.2a1b.1	B.1.2.1	B
A/Victoria/653/2017-egg	0.015390288418818949	2017.6068493150685	3C.2a1b.1	B.1.2.1	B
A/AbuDhabi/240/2018	0.013678419251086173	2018.0013698630137	3C.2a1b.1	B.1.2.1	B
A/AbuDhabi/240/2018-egg	0.01538345506279203	2018.0013698630137	3C.2a1b.1	B.1.2.1	B
A/LaRioja/2202/2018	0.01311656478907141	2018.2506849315068	3C.2a1b.1	B.1.2.1	B
A/Perth/20/2020	0.02051540123142714	2020.077868852459	3C.2a1b.1a	B.1.2.1.1	B
A/Perth/20/2020-egg	0.021652347910767845	2020.077868852459	3C.2a1b.1a	B.1.2.1.1	B
A/Yokohama/68/2020	0.019947220076894402	2020.129781420765	3C.2a1b.1a	B.1.2.1.1	B
A/Togo/771/2020	0.02165533449797257	2020.7909836065573	3C.2a1b.1a	B.1.2.1.1	B
A/NewYork/21/2020	0.019379319347438362	2020.0969945355191	3C.2a1b.1a	B.1.2.1.1	B
A/Cambodia/e0403374/2020	0.02227181018704667	2020.1844262295083	3C.2a1b.1b	D	B
A/HongKong/2671/2019	0.017657253333124342	2019.458904109589	3C.2a1b.1b	D	B
A/HongKong/2671/2019-egg	0.019362170080766485	2019.458904109589	3C.2a1b.1b	D	B
A/Delaware/39/2019	0.018225215024283686	2019.4041095890411	3C.2a1b.1b	D	B
A/Darwin/726/2019	0.01879376641546827	2019.7547945205479	3C.2a1b.1b	D	B
A/Pennsylvania/1026/2019	0.019361648010106824	2019.8424657534247	3C.2a1b.1b	D	B
A/Pennsylvania/1026/2019-egg	0.021067645033883708	2019.8424657534247	3C.2a1b.1b	D	B
A/NewCaledonia/8/2018	0.011976529168627877	2018.1602739726027	3C.2a1b.1	B.1.2.1	B
A/Wisconsin/327/2017	0.012543881443653282	2017.7246575342465	3C.2a1b.1	B.1.2.1	B
A/Iowa/60/2018	0.016523287148677814	2018.7931506849316	3C.2a1b.2	E	B
A/SouthAustralia/34/2019	0.01765980375305107	2019.1	3C.2a1b.2	E	B
A/Christchurch/515/2019-egg	0.018793002159924556	2019.2534246575342	3C.2a1b.2b	E.2	B
