,A/Switzerland/9715293/2013,A/Switzerland/9715293/2013NIB-88,A/Texas/50/2012X-223A,A/Texas/50/2012,A/HongKong/4801/2014egg,A/HongKong/4801/2014,A/HongKong/45/2019,A/HongKong/2671/2019,A/Singapore/INFIMH-16-0019/2016,A/Singapore/INFIMH-16-0019/2016X-307A,A/Kansas/14/2017,A/Kansas/14/2017X-327,A/Cambodia/e0826360/2020,A/Darwin/6/2021,A/Cambodia/e0826360/2020egg,A/Darwin/9/2021,A/AbuDhabi/6753/2023,A/Georgia/40/2023,A/California/81/2023,A/Wisconsin/27/2023,A/Maldives/852/2023,A/Oman/3011/2023,A/SOUTHAFRICA/R07876/202023,A/Bhutan/0845/2023,A/Netherlands/01693/2023,A/Bangkok/P3755/2023,A/Krabi/THIS050/2023,A/Netherlands/01685/2023,A/Netherlands/01760/2023,A/Chipata/15-NIC-001/2023,A/Malaysia/IMR-SARI1989/2023,A/Massachusetts/18/2022,A/Victoria/1033/2023,A/Catalonia/NSVH102124476/2023,A/Sydney/749/2023,A/Townsville/68/2023,A/Sydney/710/2023,A/Sydney/332/2023,A/SouthAfrica/R05510/2023,A/SouthAfrica/PET28931/2023,A/SouthAfrica/R07188/2023,A/SouthAfrica/R06477/2023,A/SouthAfrica/R06240/2023,A/Solwezi/13-NIC-001/2023,A/Sydney/715/2023,A/Ontario/RV00796/2023,A/SamutSongkhram/THIS061/2023,A/Bangkok/P3599/2023,A/Guangdong-Futian/1980/2023,A/SouthAfrica/K056872/2023,A/SouthAfrica/K056863/2023,A/Saskatchewan/SKFLU317847/2023,A/Saint-Petersburg/RII-166/2023,A/Finland/399/2023,A/SouthSudan/642/2023,A/SouthSudan/631/2023,A/Catalonia/2041146NS/2023,A/Bhutan/0006/2023,A/Bhutan/FLU-BTG-00988/2022,A/Finland/391/2023,A/KANAGAWA/IC2239/2023,A/SouthAfrica/R06359/2023,A/Brisbane/429/2023,A/KANAGAWA/AC2316/2023,A/Busan/1301/2023,A/TECPAN/017FLU/2023,A/EHIME/50/2023,A/Romania/543634/2022,A/YAMAGATA/98/2023,A/Schleswig-Holstein/4/2023,A/SENDAI/45/2023,A/SouthAfrica/R06506/2023,A/SouthAfrica/R05384/2023,A/SouthAfrica/R07073/2023,A/Luga/RII-11393S/2023,A/SuratThani/P152/2023,A/Jeju/1047/2023,A/SouthDakota/22/2023,A/Thailand/8/2022
A/Switzerland/9715293/2013,0.0,3.0,11.0,8.0,10.0,9.0,13.0,14.0,10.0,11.0,4.0,7.0,17.0,21.0,16.0,21.0,26.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,29.0,27.0,28.0,27.0,27.0,28.0,27.0,26.0,27.0,25.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,28.0,27.0,28.0,28.0,27.0,27.0,26.0,27.0,28.0,28.0,24.0,26.0,24.0,24.0,25.0,23.0,25.0,24.0,26.0,26.0,26.0,22.0,23.0,25.0,23.0,25.0,24.0,24.0,24.0,25.0,24.0,25.0,23.0,22.0,23.0,26.0
A/Switzerland/9715293/2013NIB-88,3.0,0.0,11.0,11.0,13.0,12.0,16.0,15.0,13.0,14.0,7.0,6.0,19.0,23.0,18.0,23.0,27.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,30.0,28.0,29.0,28.0,28.0,29.0,28.0,27.0,28.0,26.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,29.0,28.0,29.0,29.0,28.0,28.0,27.0,28.0,29.0,29.0,26.0,28.0,26.0,25.0,27.0,24.0,26.0,25.0,27.0,27.0,27.0,24.0,24.0,26.0,24.0,26.0,25.0,25.0,25.0,26.0,25.0,26.0,24.0,23.0,24.0,27.0
A/Texas/50/2012X-223A,11.0,11.0,0.0,3.0,13.0,12.0,21.0,18.0,15.0,15.0,15.0,15.0,19.0,25.0,18.0,24.0,30.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,33.0,31.0,30.0,31.0,31.0,30.0,29.0,30.0,31.0,29.0,31.0,31.0,29.0,31.0,31.0,31.0,31.0,31.0,31.0,32.0,31.0,32.0,32.0,31.0,31.0,30.0,31.0,30.0,32.0,28.0,30.0,28.0,28.0,29.0,27.0,29.0,30.0,30.0,30.0,30.0,26.0,27.0,29.0,27.0,29.0,28.0,28.0,28.0,29.0,28.0,29.0,27.0,26.0,27.0,30.0
A/Texas/50/2012,8.0,11.0,3.0,0.0,10.0,9.0,18.0,17.0,12.0,12.0,12.0,15.0,17.0,23.0,16.0,22.0,28.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,31.0,29.0,28.0,29.0,29.0,28.0,27.0,28.0,29.0,27.0,29.0,29.0,27.0,29.0,29.0,29.0,29.0,29.0,29.0,30.0,29.0,30.0,30.0,29.0,29.0,28.0,29.0,28.0,30.0,26.0,28.0,26.0,26.0,27.0,25.0,27.0,28.0,28.0,28.0,28.0,24.0,25.0,27.0,25.0,27.0,26.0,26.0,26.0,27.0,26.0,27.0,25.0,24.0,25.0,28.0
A/HongKong/4801/2014egg,10.0,13.0,13.0,10.0,0.0,3.0,15.0,16.0,6.0,5.0,11.0,14.0,15.0,20.0,14.0,20.0,23.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,26.0,26.0,25.0,24.0,24.0,25.0,24.0,23.0,24.0,22.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,25.0,24.0,25.0,25.0,24.0,24.0,24.0,24.0,25.0,25.0,21.0,23.0,21.0,21.0,22.0,20.0,24.0,25.0,25.0,25.0,25.0,21.0,22.0,24.0,22.0,24.0,23.0,23.0,23.0,24.0,23.0,24.0,22.0,21.0,22.0,23.0
A/HongKong/4801/2014,9.0,12.0,12.0,9.0,3.0,0.0,12.0,14.0,3.0,6.0,10.0,13.0,12.0,18.0,13.0,18.0,23.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,26.0,26.0,25.0,24.0,24.0,25.0,24.0,23.0,24.0,22.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,25.0,24.0,25.0,25.0,24.0,24.0,24.0,24.0,25.0,25.0,21.0,23.0,21.0,21.0,22.0,20.0,22.0,23.0,23.0,23.0,23.0,19.0,20.0,22.0,20.0,22.0,21.0,21.0,21.0,22.0,21.0,22.0,20.0,19.0,20.0,23.0
A/HongKong/45/2019,13.0,16.0,21.0,18.0,15.0,12.0,0.0,4.0,9.0,12.0,12.0,15.0,12.0,16.0,13.0,16.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,24.0,24.0,23.0,22.0,22.0,23.0,22.0,21.0,22.0,20.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,23.0,22.0,23.0,23.0,22.0,22.0,21.0,22.0,23.0,23.0,19.0,21.0,19.0,19.0,20.0,18.0,20.0,21.0,21.0,21.0,21.0,17.0,18.0,20.0,18.0,19.0,19.0,18.0,19.0,20.0,19.0,19.0,18.0,17.0,18.0,21.0
A/HongKong/2671/2019,14.0,15.0,18.0,17.0,16.0,14.0,4.0,0.0,11.0,12.0,13.0,14.0,13.0,15.0,13.0,14.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,23.0,23.0,22.0,21.0,21.0,22.0,21.0,20.0,21.0,19.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,22.0,21.0,22.0,22.0,21.0,21.0,20.0,21.0,22.0,22.0,18.0,20.0,18.0,18.0,19.0,17.0,19.0,20.0,20.0,20.0,20.0,16.0,17.0,19.0,17.0,18.0,18.0,17.0,18.0,19.0,18.0,18.0,17.0,16.0,17.0,20.0
A/Singapore/INFIMH-16-0019/2016,10.0,13.0,15.0,12.0,6.0,3.0,9.0,11.0,0.0,3.0,11.0,14.0,11.0,15.0,12.0,15.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,23.0,23.0,22.0,21.0,21.0,22.0,21.0,20.0,21.0,19.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,22.0,21.0,22.0,22.0,21.0,21.0,21.0,21.0,22.0,22.0,18.0,20.0,18.0,18.0,19.0,17.0,19.0,20.0,20.0,20.0,20.0,16.0,17.0,19.0,17.0,19.0,18.0,18.0,18.0,19.0,18.0,19.0,17.0,16.0,17.0,20.0
A/Singapore/INFIMH-16-0019/2016X-307A,11.0,14.0,15.0,12.0,5.0,6.0,12.0,12.0,3.0,0.0,12.0,15.0,14.0,17.0,13.0,15.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,25.0,25.0,24.0,23.0,23.0,24.0,23.0,22.0,23.0,21.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,24.0,23.0,24.0,24.0,23.0,23.0,23.0,23.0,24.0,24.0,20.0,22.0,20.0,20.0,21.0,19.0,21.0,22.0,22.0,22.0,22.0,18.0,19.0,21.0,19.0,21.0,20.0,20.0,20.0,21.0,20.0,21.0,19.0,18.0,19.0,22.0
